CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Monday, Jul 08 2019",,
Time: 02:59:46 PM,,
State,Delhi,
City,Delhi,
Station,"Rohini, Delhi - DPCC",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,27-06-2019T00:00:00Z 00:00,
To,03-07-2019T12:00:59Z 00:00,
,,
"Rohini, Delhi - DPCC",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
02-07-2019 03:15,02-07-2019 03:30,55
02-07-2019 03:30,02-07-2019 03:45,None
02-07-2019 03:45,02-07-2019 04:00,63
02-07-2019 04:00,02-07-2019 04:15,63
02-07-2019 04:15,02-07-2019 04:30,63
02-07-2019 04:30,02-07-2019 04:45,None
02-07-2019 04:45,02-07-2019 05:00,52
02-07-2019 05:00,02-07-2019 05:15,52
02-07-2019 05:15,02-07-2019 05:30,52
02-07-2019 05:30,02-07-2019 05:45,None
02-07-2019 05:45,02-07-2019 06:00,55
02-07-2019 06:00,02-07-2019 06:15,55
02-07-2019 06:15,02-07-2019 06:30,55
02-07-2019 06:30,02-07-2019 06:45,None
02-07-2019 06:45,02-07-2019 07:00,48
02-07-2019 07:00,02-07-2019 07:15,48
02-07-2019 07:15,02-07-2019 07:30,48
02-07-2019 07:30,02-07-2019 07:45,None
02-07-2019 07:45,02-07-2019 08:00,78
02-07-2019 08:00,02-07-2019 08:15,78
02-07-2019 08:15,02-07-2019 08:30,78
02-07-2019 08:30,02-07-2019 08:45,None
02-07-2019 08:45,02-07-2019 09:00,46
02-07-2019 09:00,02-07-2019 09:15,46
02-07-2019 09:15,02-07-2019 09:30,46
02-07-2019 09:30,02-07-2019 09:45,None
02-07-2019 09:45,02-07-2019 10:00,50
02-07-2019 10:00,02-07-2019 10:15,50
02-07-2019 10:15,02-07-2019 10:30,50
02-07-2019 10:30,02-07-2019 10:45,None
02-07-2019 10:45,02-07-2019 11:00,57
02-07-2019 11:00,02-07-2019 11:15,57
02-07-2019 11:15,02-07-2019 11:30,57
02-07-2019 11:30,02-07-2019 11:45,None
02-07-2019 11:45,02-07-2019 12:00,75
