CENTRAL POLLUTION CONTROL BOARD,,
CONTINUOUS AMBIENT AIR QUALITY,,
"Date: Saturday, Jun 22 2019",,
Time: 09:40:43 AM,,
State,Delhi,
City,Delhi,
Station,"ITO, Delhi - CPCB",
Parameter,PM2.5,
AvgPeriod,15 Minute,
From,11-06-2019T00:00:00Z 00:00,
To,16-06-2019T00:00:59Z 00:00,
,,
"ITO, Delhi - CPCB",,
Prescribed Standards, ,0-60
Exceeding Standards, ,NA
Remarks,,
From Date,To Date,PM2.5
14-06-2019 12:15,14-06-2019 12:30,47
14-06-2019 12:30,14-06-2019 12:45,48
14-06-2019 12:45,14-06-2019 13:00,49
14-06-2019 13:00,14-06-2019 13:15,50
14-06-2019 13:15,14-06-2019 13:30,49
14-06-2019 13:30,14-06-2019 13:45,47
14-06-2019 13:45,14-06-2019 14:00,46
14-06-2019 14:00,14-06-2019 14:15,44
14-06-2019 14:15,14-06-2019 14:30,44
14-06-2019 14:30,14-06-2019 14:45,46
14-06-2019 14:45,14-06-2019 15:00,48
14-06-2019 15:00,14-06-2019 15:15,49
14-06-2019 15:15,14-06-2019 15:30,49
14-06-2019 15:30,14-06-2019 15:45,47
14-06-2019 15:45,14-06-2019 16:00,46
14-06-2019 16:00,14-06-2019 16:15,46
14-06-2019 16:15,14-06-2019 16:30,47
14-06-2019 16:30,14-06-2019 16:45,48
14-06-2019 16:45,14-06-2019 17:00,47
14-06-2019 17:00,14-06-2019 17:15,46
14-06-2019 17:15,14-06-2019 17:30,44
14-06-2019 17:30,14-06-2019 17:45,45
14-06-2019 17:45,14-06-2019 18:00,45
14-06-2019 18:00,14-06-2019 18:15,44
14-06-2019 18:15,14-06-2019 18:30,44
14-06-2019 18:30,14-06-2019 18:45,42
14-06-2019 18:45,14-06-2019 19:00,42
14-06-2019 19:00,14-06-2019 19:15,44
14-06-2019 19:15,14-06-2019 19:30,46
14-06-2019 19:30,14-06-2019 19:45,47
14-06-2019 19:45,14-06-2019 20:00,50
14-06-2019 20:00,14-06-2019 20:15,53
14-06-2019 20:15,14-06-2019 20:30,57
14-06-2019 20:30,14-06-2019 20:45,61
14-06-2019 20:45,14-06-2019 21:00,63
14-06-2019 21:00,14-06-2019 21:15,66
14-06-2019 21:15,14-06-2019 21:30,68
14-06-2019 21:30,14-06-2019 21:45,71
14-06-2019 21:45,14-06-2019 22:00,76
14-06-2019 22:00,14-06-2019 22:15,83
14-06-2019 22:15,14-06-2019 22:30,90
14-06-2019 22:30,14-06-2019 22:45,97
14-06-2019 22:45,14-06-2019 23:00,102
14-06-2019 23:00,14-06-2019 23:15,107
14-06-2019 23:15,14-06-2019 23:30,109
14-06-2019 23:30,14-06-2019 23:45,107
14-06-2019 23:45,15-06-2019 00:00,NAN
15-06-2019 00:00,15-06-2019 00:15,100
15-06-2019 00:15,15-06-2019 00:30,99
15-06-2019 00:30,15-06-2019 00:45,103
15-06-2019 00:45,15-06-2019 01:00,103
15-06-2019 01:00,15-06-2019 01:15,103
15-06-2019 01:15,15-06-2019 01:30,100
15-06-2019 01:30,15-06-2019 01:45,93
15-06-2019 01:45,15-06-2019 02:00,89
15-06-2019 02:00,15-06-2019 02:15,86
15-06-2019 02:15,15-06-2019 02:30,84
15-06-2019 02:30,15-06-2019 02:45,83
15-06-2019 02:45,15-06-2019 03:00,85
15-06-2019 03:00,15-06-2019 03:15,85
15-06-2019 03:15,15-06-2019 03:30,84
15-06-2019 03:30,15-06-2019 03:45,87
15-06-2019 03:45,15-06-2019 04:00,91
15-06-2019 04:00,15-06-2019 04:15,95
15-06-2019 04:15,15-06-2019 04:30,97
15-06-2019 04:30,15-06-2019 04:45,92
15-06-2019 04:45,15-06-2019 05:00,83
15-06-2019 05:00,15-06-2019 05:15,75
15-06-2019 05:15,15-06-2019 05:30,69
15-06-2019 05:30,15-06-2019 05:45,65
15-06-2019 05:45,15-06-2019 06:00,63
15-06-2019 06:00,15-06-2019 06:15,62
15-06-2019 06:15,15-06-2019 06:30,63
15-06-2019 06:30,15-06-2019 06:45,66
15-06-2019 06:45,15-06-2019 07:00,72
15-06-2019 07:00,15-06-2019 07:15,79
15-06-2019 07:15,15-06-2019 07:30,86
15-06-2019 07:30,15-06-2019 07:45,93
15-06-2019 07:45,15-06-2019 08:00,100
15-06-2019 08:00,15-06-2019 08:15,106
15-06-2019 08:15,15-06-2019 08:30,111
15-06-2019 08:30,15-06-2019 08:45,113
15-06-2019 08:45,15-06-2019 09:00,113
15-06-2019 09:00,15-06-2019 09:15,111
15-06-2019 09:15,15-06-2019 09:30,105
15-06-2019 09:30,15-06-2019 09:45,96
15-06-2019 09:45,15-06-2019 10:00,87
15-06-2019 10:00,15-06-2019 10:15,81
15-06-2019 10:15,15-06-2019 10:30,77
15-06-2019 10:30,15-06-2019 10:45,74
15-06-2019 10:45,15-06-2019 11:00,68
15-06-2019 11:00,15-06-2019 11:15,60
15-06-2019 11:15,15-06-2019 11:30,54
15-06-2019 11:30,15-06-2019 11:45,51
15-06-2019 11:45,15-06-2019 12:00,52
15-06-2019 12:00,15-06-2019 12:15,53
15-06-2019 12:15,15-06-2019 12:30,54
15-06-2019 12:30,15-06-2019 12:45,55
15-06-2019 12:45,15-06-2019 13:00,55
15-06-2019 13:00,15-06-2019 13:15,55
15-06-2019 13:15,15-06-2019 13:30,55
15-06-2019 13:30,15-06-2019 13:45,55
15-06-2019 13:45,15-06-2019 14:00,55
15-06-2019 14:00,15-06-2019 14:15,54
15-06-2019 14:15,15-06-2019 14:30,55
15-06-2019 14:30,15-06-2019 14:45,54
15-06-2019 14:45,15-06-2019 15:00,53
15-06-2019 15:00,15-06-2019 15:15,52
15-06-2019 15:15,15-06-2019 15:30,52
15-06-2019 15:30,15-06-2019 15:45,53
15-06-2019 15:45,15-06-2019 16:00,55
15-06-2019 16:00,15-06-2019 16:15,55
15-06-2019 16:15,15-06-2019 16:30,55
15-06-2019 16:30,15-06-2019 16:45,54
15-06-2019 16:45,15-06-2019 17:00,52
15-06-2019 17:00,15-06-2019 17:15,52
15-06-2019 17:15,15-06-2019 17:30,52
15-06-2019 17:30,15-06-2019 17:45,50
15-06-2019 17:45,15-06-2019 18:00,48
15-06-2019 18:00,15-06-2019 18:15,48
15-06-2019 18:15,15-06-2019 18:30,48
15-06-2019 18:30,15-06-2019 18:45,50
15-06-2019 18:45,15-06-2019 19:00,50
15-06-2019 19:00,15-06-2019 19:15,51
15-06-2019 19:15,15-06-2019 19:30,50
15-06-2019 19:30,15-06-2019 19:45,51
15-06-2019 19:45,15-06-2019 20:00,54
15-06-2019 20:00,15-06-2019 20:15,59
15-06-2019 20:15,15-06-2019 20:30,65
15-06-2019 20:30,15-06-2019 20:45,68
15-06-2019 20:45,15-06-2019 21:00,69
15-06-2019 21:00,15-06-2019 21:15,67
15-06-2019 21:15,15-06-2019 21:30,64
15-06-2019 21:30,15-06-2019 21:45,61
15-06-2019 21:45,15-06-2019 22:00,61
15-06-2019 22:00,15-06-2019 22:15,58
15-06-2019 22:15,15-06-2019 22:30,57
15-06-2019 22:30,15-06-2019 22:45,57
15-06-2019 22:45,15-06-2019 23:00,55
15-06-2019 23:00,15-06-2019 23:15,54
15-06-2019 23:15,15-06-2019 23:30,51
15-06-2019 23:30,15-06-2019 23:45,48
15-06-2019 23:45,16-06-2019 00:00,NAN
16-06-2019 00:00,16-06-2019 00:00,48
